zone_code,event_count,mean_predicted_score,max_predicted_score,min_predicted_score,high_risk_event_count,medium_risk_event_count,low_risk_event_count,high_risk_event_ratio,mean_absolute_error,mean_rain_24h_mm,max_rain_24h_mm,mean_gpm_precipitation_sum,mean_built_surface_mean,mean_population_sum,dominant_risk_class
NSR-GRID-128,30,0.3732836674865767,0.7299589005305105,0.2413088874604577,3,11,16,0.1,0.010075442304094955,10.506666666666668,44.9,0.0,2474.408,0.0,medium
NSR-GRID-129,30,0.3033111559239102,0.6425531600103369,0.184866737495487,0,7,23,0.0,0.00612880044227376,10.506666666666668,44.9,0.0,425.4084507042256,0.0,low
NSR-GRID-130,30,0.518840669565881,0.8606721377788757,0.3967837222240361,5,25,0,0.16666666666666666,0.0036955450269439217,10.506666666666668,44.9,0.0,3558.004294917682,0.0,medium
NSR-GRID-131,30,0.2662717605973976,0.6078982010879493,0.1455147013722609,0,7,23,0.0,0.004527965456234517,10.506666666666668,44.9,0.0,12.384566461734149,0.0,low
NSR-GRID-132,30,0.562472089187979,0.9004306468098184,0.4421626670516777,6,24,0,0.2,0.004808812638730133,10.506666666666668,44.9,0.0,4274.9749947022665,0.0,medium
NSR-GRID-133,30,0.5657855366486453,0.9049069725288952,0.4457994824361603,6,24,0,0.2,0.004943821697413058,10.506666666666668,44.9,0.0,4458.2113958907,0.0,medium
NSR-GRID-134,30,0.5212029912056109,0.8659518739117033,0.3976492965113176,5,25,0,0.16666666666666666,0.00452579938976444,10.506666666666668,44.9,0.0,3961.3714770078386,0.0,medium
NSR-GRID-135,30,0.5354580679663139,0.8769668535699835,0.4140320772325857,5,25,0,0.16666666666666666,0.004003742454831479,10.506666666666668,44.9,0.0,4130.348590803133,0.0,medium
NSR-GRID-136,30,0.45594097956716195,0.7960791220267764,0.3347240038786229,4,26,0,0.13333333333333333,0.004205164184968812,10.506666666666668,44.9,0.0,2346.619966087325,0.0,medium
NSR-GRID-137,30,0.5027236591073782,0.84108801706119,0.3814124655735035,5,25,0,0.16666666666666666,0.004709593392662769,10.506666666666668,44.9,0.0,4225.372561492793,0.0,medium
NSR-GRID-138,30,0.4603812195350479,0.8061847951817973,0.3339328508030255,5,25,0,0.16666666666666666,0.007120403996366448,10.506666666666668,44.9,0.0,4221.700233199067,0.0,medium
NSR-GRID-139,30,0.5127323484158098,0.8548551976054739,0.390173383953137,5,25,0,0.16666666666666666,0.004184423320625077,10.506666666666668,44.9,0.0,3531.750529885544,0.0,medium
NSR-GRID-140,30,0.23791235084275228,0.5836396717492862,0.113524063312526,0,7,23,0.0,0.00583944366946297,10.506666666666668,44.9,0.0,308.4077134986225,0.0,low
NSR-GRID-141,30,0.2357561407374133,0.5822655469111806,0.1127868102973703,0,6,24,0.0,0.005145417415175785,10.506666666666668,44.9,0.0,8.252542372881354,0.0,low
NSR-GRID-142,30,0.38098420726988985,0.7221742703203113,0.2592787946826103,3,12,15,0.1,0.004074082890952611,10.506666666666668,44.9,0.0,2023.2663135593202,0.0,medium
NSR-GRID-143,30,0.5764540174384947,0.9165636425029892,0.4553847218626041,6,24,0,0.2,0.004381419696204645,10.506666666666668,44.9,0.0,4347.331214240304,0.0,medium
